item_id,record_type,parent_component_name,system,component_role,prior_shape,prior_axis,nominal_dimensions_m,size_evidence_level,bound_region_id,owner_region_ids,current_outside_views,current_outside_sample_count,candidate_outside_views,candidate_outside_sample_count,outside_sample_reduction,candidate_center_shift_m,candidate_center_m,triage_status,recommended_action,runtime_projection_status
tail_hydraulic_pump,receiver_prior,tail_hydraulic_pump,hydraulic,small_hydraulic_receiver,obb,,0.25;0.18;0.18,low_confidence_engineering_proxy,aft_fuselage_engine,aft_fuselage_engine,,0,,0,0,0.0,-5.025768;0.0;-0.52713,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
engine_fuel_control_unit,receiver_prior,engine_fuel_control_unit,engine,small_engine_control_receiver,obb,,0.320548;0.123952;0.14351,standard_enclosure_proxy_pending_f110_control_unit_dimensions,aft_fuselage_engine,aft_fuselage_engine,,0,,0,0,0.0,-4.9;0.0;-0.25,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
rudder_actuator,receiver_prior,rudder_actuator,flight_control,control_surface_actuator_receiver,capsule,z,0.08;0.08;0.45,low_confidence_engineering_proxy,vertical_tail,vertical_tail,,0,,0,0,0.0,-6.974901;0.0;1.568794,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
left_horizontal_tail_actuator_or_surface_component,receiver_prior,left_horizontal_tail_actuator_or_surface_component,flight_control,tail_surface_receiver,capsule,y,0.08;0.65;0.08,low_confidence_engineering_proxy,left_horizontal_tail,left_horizontal_tail,,0,,0,0,0.0,-6.0;-1.79;-1.05,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
right_horizontal_tail_actuator_or_surface_component,receiver_prior,right_horizontal_tail_actuator_or_surface_component,flight_control,tail_surface_receiver,capsule,y,0.08;0.65;0.08,low_confidence_engineering_proxy,right_horizontal_tail,right_horizontal_tail,,0,,0,0,0.0,-6.0;1.79;-1.05,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
left_wing_fuel_cell,receiver_prior,left_wing_fuel_cell,fuel,wing_fuel_cell_receiver,ellipsoid,,2.0;2.2;0.15,public_total_capacity_partition_estimate,left_wing,left_wing,,0,,0,0,0.0,-1.4;-2.3;-0.985,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
right_wing_fuel_cell,receiver_prior,right_wing_fuel_cell,fuel,wing_fuel_cell_receiver,ellipsoid,,2.0;2.2;0.15,public_total_capacity_partition_estimate,right_wing,right_wing,,0,,0,0,0.0,-1.4;2.3;-0.985,inside_airframe_candidate,no_geometry_correction_required_before_human_size_review,review_only_airframe_constraint_correction_candidate_not_runtime_active
left_aileron_actuator,receiver_prior,left_aileron_actuator,flight_control,control_surface_actuator_receiver,capsule,y,0.08;0.45;0.08,low_confidence_engineering_proxy,left_wing,left_wing,,0,,0,0,0.0,-2.342176;-2.723827;-0.985,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
right_aileron_actuator,receiver_prior,right_aileron_actuator,flight_control,control_surface_actuator_receiver,capsule,y,0.08;0.45;0.08,low_confidence_engineering_proxy,right_wing,right_wing,,0,,0,0,0.0,-2.342168;2.723775;-0.985,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
wing_spar_center,receiver_prior,wing_spar_center,wings,cross_region_structural_receiver,capsule,y,0.18;6.6;0.18,cross_region_structure_proxy_pending_true_spar_dimensions,center_fuselage,center_fuselage;left_wing_root;right_wing_root;left_wing;right_wing,,0,,0,0,0.0,-1.092842;0.0;-0.985043,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
left_leading_edge_flap_actuator,receiver_prior,left_leading_edge_flap_actuator,flight_control,control_surface_actuator_receiver,capsule,y,0.08;0.55;0.08,low_confidence_engineering_proxy,left_wing_root,left_wing_root,,0,,0,0,0.0,-0.2;-1.100915;-0.949957,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
right_leading_edge_flap_actuator,receiver_prior,right_leading_edge_flap_actuator,flight_control,control_surface_actuator_receiver,capsule,y,0.08;0.55;0.08,low_confidence_engineering_proxy,right_wing_root,right_wing_root,,0,,0,0,0.0,-0.2;1.100914;-0.949957,inside_airframe_low_confidence_size_review,replace_low_confidence_engineering_proxy_with_better_size_source,review_only_airframe_constraint_correction_candidate_not_runtime_active
engine_core_afterburner_segment,held_split_segment,engine_core,engine,aft_afterburner_and_nozzle_overlap_proxy,capsule,x,1.540087;1.1811;1.1811,held_segment_split_proxy,aft_fuselage_engine,aft_fuselage_engine;engine_nozzle,,0,,0,0,0.0,-5.025512;0.0;-0.554381,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
engine_core_hot_section_segment,held_split_segment,engine_core,engine,main_core_hot_section_proxy,ellipsoid,,1.540087;1.1811;1.1811,held_segment_split_proxy,aft_fuselage_engine,aft_fuselage_engine,,0,,0,0,0.0,-3.693053;0.0;-0.554381,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
engine_core_forward_compressor_segment,held_split_segment,engine_core,engine,forward_compressor_proxy,ellipsoid,,1.540087;1.1811;1.1811,held_segment_split_proxy,aft_fuselage_engine,aft_fuselage_engine,,0,,0,0,0.0,-2.352966;0.0;-0.554381,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
wing_spar_center_left_inner_wing_segment,held_split_segment,wing_spar_center,wings,left_inner_wing_spar_proxy,ellipsoid,,0.18;1.85;0.18,held_segment_split_proxy,center_fuselage,left_wing,,0,front,1,-1,0.442751,-1.092842;-2.017751;-0.985043,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
wing_spar_center_left_root_segment,held_split_segment,wing_spar_center,wings,left_wing_root_spar_proxy,capsule,y,0.18;0.6;0.18,held_segment_split_proxy,center_fuselage,left_wing_root,,0,,0,0,0.064265,-1.092842;-1.085735;-0.985043,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
wing_spar_center_carrythrough_segment,held_split_segment,wing_spar_center,wings,center_fuselage_carrythrough_box_proxy,capsule,y,0.18;1.7;0.18,held_segment_split_proxy,center_fuselage,center_fuselage,,0,,0,0,0.0,-1.092842;0.0;-0.985043,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
wing_spar_center_right_root_segment,held_split_segment,wing_spar_center,wings,right_wing_root_spar_proxy,capsule,y,0.18;0.6;0.18,held_segment_split_proxy,center_fuselage,right_wing_root,,0,,0,0,0.064266,-1.092842;1.085734;-0.985043,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
wing_spar_center_right_inner_wing_segment,held_split_segment,wing_spar_center,wings,right_inner_wing_spar_proxy,ellipsoid,,0.18;1.85;0.18,held_segment_split_proxy,center_fuselage,right_wing,,0,front,1,-1,0.442659,-1.092842;2.017659;-0.985043,inside_airframe_cross_region_ownership_held,keep_cross_region_receiver_held_until_ownership_is_split_or_accepted,review_only_airframe_constraint_correction_candidate_not_runtime_active
