path,title,record_kind,decision,evidence
"ground/vehicles/cv90/README.md","CV90 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/himars/README.md","HIMARS Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/k-2/README.md","K2 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/leopard-2/README.md","Leopard 2 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/m1-abrams/README.md","M1 Abrams Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/m109/README.md","M109 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/mlrs/README.md","MLRS Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/pzh-2000/README.md","Panzerhaubitze 2000 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/README.md","Ground Vehicles","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"ground/vehicles/t-72/README.md","T-72 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"ground/vehicles/t-90/README.md","T-90 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"module/engine/README.md","Engine Modules","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"module/mobility/README.md","Mobility Modules","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"module/README.md","Equipment Module Catalog","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"module/sensor/an-apg-68/README.md","AN/APG-68 Radar Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"module/sensor/README.md","Sensor Modules","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"naval/README.md","Naval Equipment","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"naval/ships/aircraft-carrier/nimitz/README.md","Nimitz Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"naval/ships/aircraft-carrier/README.md","Aircraft Carriers","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"naval/ships/README.md","Naval Ships","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"naval/ships/submarine/los-angeles/README.md","Los Angeles Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"naval/ships/submarine/README.md","Submarines","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"naval/ships/surface-combatant/README.md","Surface Combatants","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"naval/ships/surface-combatant/sovremenny/README.md","Sovremenny Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"naval/ships/surface-combatant/ticonderoga/README.md","Ticonderoga Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"naval/ships/surface-combatant/type-052/README.md","Type 052 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"README.md","Equipment Catalog","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"weapon/air-to-air/aim-9/README.md","AIM-9 Sidewinder Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/air-to-air/r-73/README.md","R-73 Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/air-to-air/README.md","Air-to-Air Weapons","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"weapon/air-to-surface/agm-65/README.md","AGM-65 Maverick Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/air-to-surface/README.md","Air-to-Surface Weapons","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"weapon/anti-armor/agm-114/README.md","AGM-114 Hellfire Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/anti-armor/javelin/README.md","Javelin Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/anti-armor/README.md","Anti-Armor Weapons","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"weapon/anti-armor/tow/README.md","TOW Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/anti-ship/exocet/README.md","Exocet Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/anti-ship/lrasm/README.md","LRASM Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/anti-ship/README.md","Anti-Ship Weapons","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"weapon/README.md","Weapon Catalog","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
"weapon/surface-to-air/patriot/README.md","Patriot Family","family_parent","out_of_parameter_queue","no Equipment ID; no ## Parameters; family grouping page"
"weapon/surface-to-air/README.md","Surface-to-Air Weapons","hierarchy_index","out_of_parameter_queue","no Equipment ID; no ## Parameters; catalog or hierarchy page"
