equipment_id,country,operator,domain,class,family,variant,status,catalog_path,source_ids,notes
eq-cn-air-h6k,China,PLA Air Force,air,bomber,H-6,H-6K,cataloged,catalog/air/aircraft/bomber/h-6/h-6k,p5-cn-air-h6k-mnd;p5-cn-air-h6k-migflug,Tier C community and specialist sources admitted where no official or manufacturer source discloses parameters; per-field source and confidence present; conflicting readings retained not reconciled; status held at cataloged because no row can rise above secondary confidence and some fields remain unestablished
eq-cn-air-kj500,China,PLA Air Force,air,aewc,KJ-500,KJ-500,cataloged,catalog/air/aircraft/aewc/kj-500/kj-500,p5-cn-air-kj500-mnd;p5-cn-air-kj500-mitchell,Tier C community and specialist sources admitted where no official or manufacturer source discloses parameters; per-field source and confidence present; conflicting readings retained not reconciled; status held at cataloged because no row can rise above secondary confidence and some fields remain unestablished
eq-cn-air-yy20a,China,PLA Air Force,air,tanker,YY-20,YY-20A,cataloged,catalog/air/aircraft/tanker/yy-20/yy-20a,p5-cn-air-yy20a-mnd,Cataloged from acquired source package.
eq-cn-air-z20,China,PLA,air,rotary_transport,Z-20,Z-20,cataloged,catalog/air/aircraft/rotary_transport/z-20/z-20,p5-cn-air-z20-mnd,Cataloged from acquired source package.
eq-ru-air-su27s,Russia,Russian Aerospace Forces,air,fighter,Su-27,Su-27S,parameter_complete,catalog/air/aircraft/fighter/su-27/su-27s,p5-ru-air-su27s-armyrecognition,all target fields filled; Tier C specialist values require cross-check
eq-ru-air-mig29a,Russia,Russian Aerospace Forces,air,fighter,MiG-29,MiG-29A,parameter_complete,catalog/air/aircraft/fighter/mig-29/mig-29a,p5-ru-air-mig29a-armyrecognition,all target fields filled; Tier C specialist values require cross-check
eq-ru-air-mig31b,Russia,Russian Aerospace Forces,air,interceptor,MiG-31,MiG-31B,parameter_complete,catalog/air/aircraft/fighter/mig-31/mig-31b,p5-ru-air-mig31b-armyrecognition,all target fields filled; radar and cannon-load bounds require cross-check
eq-us-air-f15c,United States,USAF,air,fighter,F-15,F-15C,parameter_complete,catalog/air/aircraft/fighter/f-15/f-15c,p5-us-air-f15c-usaf;p5-us-air-f15c-wikipedia,all target fields filled; bounded community values remain for cross-check
eq-us-air-f4e,United States,USAF,air,fighter,F-4,F-4E,parameter_complete,catalog/air/aircraft/fighter/f-4/f-4e,p5-us-air-f4e-usaf;p5-us-air-f4e-wikipedia,all target fields filled; bounded community values remain for cross-check
eq-fr-air-miragef1,France,French Air Force,air,fighter,Mirage F1,F1C,parameter_complete,catalog/air/aircraft/fighter/mirage-f1/mirage-f1c,p5-fr-air-miragef1-mindef;p5-fr-air-miragef1-dassault;p5-fr-air-miragef1-wikipedia,all target fields filled; historical configuration and bounded community values remain for cross-check
eq-eu-air-tornadoids,Multinational,RAF/German Air Force/Italian Air Force,air,ground_attack,Tornado,IDS,parameter_complete,catalog/air/aircraft/ground-attack/tornado/tornado-ids,p5-uk-air-tornadoids-raf;p5-de-air-tornadoids-bundeswehr;p5-it-air-tornadoids-ami;p5-eu-air-tornadoids-wikipedia,all target fields filled; national IDS fits remain separated and require cross-check
eq-se-air-gripenc,Sweden,Swedish Air Force,air,fighter,Gripen,Gripen C,parameter_complete,catalog/air/aircraft/fighter/gripen/gripen-c,p5-se-air-gripenc-saab;p5-se-air-gripenc-fm;p5-se-air-gripenc-wikipedia,all target fields filled; software and signature values include bounded community estimates
